Sl. No.,State,2017-18 - P,2017-18 - CP,2018-19 - P,2018-19 - CP,2019-20 - P,2019-20 - CP,2020-21 - P,2020-21 - CP,2021-22 - P,2021-22 - CP,Total - P,Total - CP
1,Andhra Pradesh,2,14760,2,17357,5,57164,0,0,18,90000,27,179281
2,Assam,0,0,2,15200,1,10000,1,9000,0,0,4,34200
3,Bihar,0,0,3,22172,0,0,0,0,0,0,3,22172
4,Chhattisgarh,0,0,1,3243,0,0,0,0,0,0,1,3243
5,Gujarat,116,564289,68,289567,12,33964,1,3452,8,33786,205,925058
6,Haryana,9,31554,4,10890,0,0,0,0,2,16064,15,58508
7,Himachal Pradesh,0,0,9,16657,0,0,1,6368,0,0,10,23025
8,Jammu and Kashmir,17,72109,3,15094,5,24981,7,32163,0,0,32,144347
9,Karnataka,7,21877,5,26346,6,50488,0,0,1,7300,19,106011
10,Kerala,1,1300,0,0,0,0,0,0,0,0,1,1300
11,Madhya Pradesh,3,22102,3,22340,1,5653,0,0,1,10000,8,60095
12,Maharashtra,0,0,0,0,0,0,1,5600,9,34640,10,40240
13,Manipur,1,1600,0,0,0,0,0,0,0,0,1,1600
14,Odisha,2,1200,0,0,0,0,0,0,0,0,2,1200
15,Punjab,14,47660,19,100015,5,28945,6,31632,13,58979,57,267231
16,Rajasthan,1,6000,10,41829,1,5800,4,28405,0,0,16,82034
17,Tamil Nadu,0,10000,3,14576,3,23260,0,0,1,5386,7,53222
18,Telangana,0,0,4,20000,5,47320,0,0,0,0,9,67320
19,Tripura,0,0,0,0,0,0,0,0,3,4786,3,4786
20,Uttar Pradesh,61,272622,41,205681,7,59325,17,97424,1,100,127,635152
21,Uttrakhand,1,2400,0,0,0,0,0,0,0,0,1,2400
Total,Total,235,1069473,177,820967,51,346900,38,214044,57,261041,558,2712425
